,langs,project,cdli_id,collection,credits,date_of_origin,designation,display_name,dynastic_seat,exemplars,genre,id_composite,language,material,object_type,period,pleiades_id,popular_name,primary_publication,provenience,pleiades_coord,ruler,script,script_remarks,script_type,subgenre,supergenre,trans,id_text,seal_id,attribution
Q003432,0x08000000,rinap/rinap1,P466003,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003432/.",744-727,Tiglath-pileser III 19,RINAP 1 Tigl. III 19,Assyria,"BM 118908 (Layard, MS C; 3 R pl. 10 no. 1b)",Royal Inscription,Q003432,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 19 (A,9) / Ann. 6",Tiglath-pileser III 19,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003433,0x08000000,rinap/rinap1,P463057,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003433/.",744-727,Tiglath-pileser III 20,RINAP 1 Tigl. III 20,Assyria,"Layard, MS A pp. 115-116 (Rawlinson, Notebook 1 fols. 121r-120v; G. Smith, Notebook 17 fols. 29v-30r)",Royal Inscription,Q003433,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 20 (C,9) / Ann. 23",Tiglath-pileser III 20,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003434,0x08000000,rinap/rinap1,P463057,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003434/.",744-727,Tiglath-pileser III 21,RINAP 1 Tigl. III 21,Assyria,"Layard, MS A p. 116, right side (G. Smith, Notebook 5 fol. 61v)",Royal Inscription,Q003434,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 21 (C,10) / Ann. 24",Tiglath-pileser III 21,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003435,0x08000000,rinap/rinap1,P463058,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003435/.",744-727,Tiglath-pileser III 22,RINAP 1 Tigl. III 22,Assyria,"Layard, MS A p. 69 (Layard, ICC p. 29 bottom; G. Smith, Notebook 5 fol. 61v)",Royal Inscription,Q003435,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 22 (C,11) / Ann. 18",Tiglath-pileser III 22,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003436,0x08000000,rinap/rinap1,P463059,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003436/.",744-727,Tiglath-pileser III 23,RINAP 1 Tigl. III 23,Assyria,"Layard, MS A p. 130 (Layard, ICC p. 34 bottom)",Royal Inscription,Q003436,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 23 (A,10) / Ann. 7",Tiglath-pileser III 23,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003437,0x08000000,rinap/rinap1,P463059,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003437/.",744-727,Tiglath-pileser III 24,RINAP 1 Tigl. III 24,Assyria,"Layard, MS A p. 130 (Layard, ICC p. 34 middle)",Royal Inscription,Q003437,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 24 (A,11) / Ann. 11",Tiglath-pileser III 24,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003438,0x08000000,rinap/rinap1,P463060,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003438/.",744-727,Tiglath-pileser III 25,RINAP 1 Tigl. III 25,Assyria,"Rawlinson, Notebook 1 fols. 119r-118v",Royal Inscription,Q003438,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 25 (C,12) / Ann. 28",Tiglath-pileser III 25,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003439,0x08000000,rinap/rinap1,P466002,"Archäologisches Institut der Universität Zürich, Zurich, Switzerland; Museum für Kunst und Gewerbe, Hamburg, Germany","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003439/.",744-727,Tiglath-pileser III 26,RINAP 1 Tigl. III 26,Assyria,"ZhArchSlg 1919 (+) Hamburg 1966, 130/St. 246 (Layard, MS A p. 133; Layard, ICC p. 69 bottom left)",Royal Inscription,Q003439,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 26 (A,5) / Ann. 2",Tiglath-pileser III 26,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003440,0x08000000,rinap/rinap1,P466002,"British Museum, London, UK; Archäologisches Institut der Universität Zürich, Zurich, Switzerland; Museum für Kunst und Gewerbe, Hamburg, Germany","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003440/.",744-727,Tiglath-pileser III 27,RINAP 1 Tigl. III 27,Assyria,"BM 115634 (+) ZhArchSlg 1919 + ZhArchSlg 1920 (+) Hamburg 1966, 130/St. 246 (Layard, MS A pp. 133-134; Layard, ICC p. 69 bottom center + 69 top left)",Royal Inscription,Q003440,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 27 (A,6) / Ann. 3",Tiglath-pileser III 27,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003441,0x08000000,rinap/rinap1,P466002,"British Museum, London, UK; Archäologisches Institut der Universität Zürich, Zurich, Switzerland","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003441/.",744-727,Tiglath-pileser III 28,RINAP 1 Tigl. III 28,Assyria,"BM 115634 + BM 118903 (+) ZhArchSlg 1920 (Layard, MS A p. 133; Layard, ICC pp. 69 top right + 68 bottom)",Royal Inscription,Q003441,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 28 (A,7) / Ann. 4",Tiglath-pileser III 28,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003442,0x08000000,rinap/rinap1,P466002,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003442/.",744-727,Tiglath-pileser III 29,RINAP 1 Tigl. III 29,Assyria,BM 118903,Royal Inscription,Q003442,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,Unit 28x / Ann. 4x,Tiglath-pileser III 29,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,,,,
Q003443,0x08000000,rinap/rinap1,P463061,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003443/.",744-727,Tiglath-pileser III 30,RINAP 1 Tigl. III 30,Assyria,"BM 118899 + BM 118900 (G. Smith, Notebook 5 fol. 13r)",Royal Inscription,Q003443,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 29 (C,6) / Ann. 22",Tiglath-pileser III 30,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
