text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,2,IBUBdzzeLV7Mt01PpeE6ecTW50U,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,4,2,IBUBd4V6FqtLpEiNmXQSmcIbKIg,n,n,𓈖,𓈖,['𓈖'],78873,n,PREP,,hin zu; von her; [Dativ: Richtung],,,0.0,['𓈖'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,4,3,IBUBd4JcHUYwfUdanCh9aJc0vUM,šw,šw,𓆄𓏲𓇳,𓆄𓏲𓇳,"['𓆄', '𓏲', '𓇳']",152750,šw,NOUN,,Licht; Sonne,,,0.0,"['𓆄', '𓏲', '𓇳']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,2,IBUBd2rdG9C2YEiOqQ4Z5MQSTec,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28160,ꞽr,PREP,,was anbetrifft (vorangestellt zur Betonung eines Satzgliedes),,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,3,IBUBd5PkJU8M20GusvTyzTYkQqY,m-ḫt,m-ḫt,𓅓𓆱𓐰𓐍𓐱𓏏𓂻,𓅓𓆱𓐍𓏏𓂻,"['𓅓', '𓆱', '𓐍', '𓏏', '𓂻']",400151,m-ḫt,PREP,,nachdem (Konjunktion),,,0.0,"['𓅓', '𓆱', '𓐍', '𓏏', '𓂻']","['complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,4,IBUBd4TZEXVhi0mpv9cXNgsIMGg,šww,šww,𓆄𓏲𓏲𓇳,𓆄𓏲𓏲𓇳,"['𓆄', '𓏲', '𓏲', '𓇳']",152720,šwi̯,VERB,,trocken sein; austrocknen,,,0.0,"['𓆄', '𓏲', '𓏲', '𓇳']","['complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,5,IBUBdyC8Q4Qtf0MVmaJuNWFNac4,ḥr-qd,ḥr-qd,𓁷𓏤𓐪𓂧𓐰𓏌𓐱𓏛,𓁷𓏤𓐪𓂧𓏌𓏛,"['𓁷', '𓏤', '𓐪', '𓂧', '𓏌', '𓏛']",108220,ḥr-qd,ADV,,ganz und gar; durchaus,,,0.0,"['𓁷', '𓏤', '𓐪', '𓂧', '𓏌', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,6,IBUBd7hvIGTSb0yqoR1Rr9jTiQE,ḫr,ḫr,𓐍𓐰𓂋,𓐍𓂋,"['𓐍', '𓂋']",400037,ḫr,PART,,[Bildungselement von Verbformen],,,0.0,"['𓐍', '𓂋']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,7,IBUBd4kO3PBuwElfu0mlOAKjmYE,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,8,IBUBd9Qdlxsp70zFsR4QXJaQ1a4,ḏn,ḏn,𓆓𓐰𓈖𓀜,𓆓𓈖𓀜,"['𓆓', '𓈖', '𓀜']",184090,ḏn,VERB,,dreschen,,,0.0,"['𓆓', '𓈖', '𓀜']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,9,IBUBd8gCfVMrVkDbiEO3mONqSvA,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,10,IBUBd8eWcFlCmUVNhlF0u83j2DQ,mꞽ,mꞽ,𓏇𓇋,𓏇𓇋,"['𓏇', '𓇋']",67820,mꞽ,PREP,,wie,,,0.0,"['𓏇', '𓇋']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,11,IBUBdQuMDb9yFEcLtf2RFKtZp88,ḏn,ḏn,𓆓𓐰𓈖𓀜,𓆓𓈖𓀜,"['𓆓', '𓈖', '𓀜']",184090,ḏn,VERB,,dreschen,,,0.0,"['𓆓', '𓈖', '𓀜']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,5,12,IBUBdwP9f18ULkpppa8oK1pOr2k,ꞽt,ꞽt,𓌾𓐰𓏥,𓌾𓏥,"['𓌾', '𓏥']",32830,ꞽt,NOUN,,Gerste; Korn (allg.),,,0.0,"['𓌾', '𓏥']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,1,IBUBdxbzyKN6AEAkvjbp2y7tVb8,ḫꜣḫꜣ.ḫr,ḫꜣḫꜣ.ḫr,𓆼𓄿𓆼𓄿𓊡𓂝𓐍𓐰𓂋,𓆼𓄿𓆼𓄿𓊡𓂝𓐍𓂋,"['𓆼', '𓄿', '𓆼', '𓄿', '𓊡', '𓂝', '𓐍', '𓂋']",114220,ḫꜣḫꜣ,VERB,,worfeln; zerstreuen,,,0.0,"['𓆼', '𓄿', '𓆼', '𓄿', '𓊡', '𓂝', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,2,IBUBdWnPbSLmVEuJlocgEwLIJ10,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,4,IBUBdzGDyUaDCEiSgQlKsquQZcY,r,r,𓂋,𓂋,['𓂋'],400030,r,PREP,,zu (temp.); bis (temp.); lang (Dauer); [temporal],,,0.0,['𓂋'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,5,IBUBd9mgplNLYU8iow8LYpf5CW0,spp,spp,𓊃𓐰𓊪𓐱𓊪𓊗𓐰𓏛,𓊃𓊪𓊪𓊗𓏛,"['𓊃', '𓊪', '𓊪', '𓊗', '𓏛']",132780,zpp,NOUN,,Rest,,,0.0,"['𓊃', '𓊪', '𓊪', '𓊗', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,6,IBUBd1WQMNyiYkaSrQogDpsQAuY,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,7,IBUBdQyopVEBOUHirZnsLgSqYSE,pr.t,pr.t,𓉐𓂋𓐰𓏏𓍁𓐰𓈒𓐱𓏥,𓉐𓂋𓏏𓍁𓈒𓏥,"['𓉐', '𓂋', '𓏏', '𓍁', '𓈒', '𓏥']",60310,pr.t,NOUN,,Frucht (einer Pflanze); Saatkorn; Nachkommenschaft (bildl.),,,0.0,"['𓉐', '𓂋', '𓏏', '𓍁', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,6,8,IBUBd3OD7MO3h0rwlYsqyWkouws,ꞽr.ꞽ,ꞽr.ꞽ,𓇋𓂋𓐰𓏭,𓇋𓂋𓏭,"['𓇋', '𓂋', '𓏭']",850583,ꞽr.ꞽ,ADJ,,"davon; dessen (Possesivadj., meist invariabel)",,,0.0,"['𓇋', '𓂋', '𓏭']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,1,IBUBdWQCM3BDfUkajqtjxnMziaI,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28160,ꞽr,PREP,,was anbetrifft (vorangestellt zur Betonung eines Satzgliedes),,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,2,IBUBd3853JmYc0Kcmdx09umWfnc,ḫpr.t.PL,ḫpr.t.PL,𓆣𓂋𓐰𓏏𓏪,𓆣𓂋𓏏𓏪,"['𓆣', '𓂋', '𓏏', '𓏪']",116230,ḫpr,VERB,,werden; entstehen; geschehen; existieren,,,0.0,"['𓆣', '𓂋', '𓏏', '𓏪']","['complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,3,IBUBdWLVFyps2UwbtGCX2xfXWxg,nb.t,nb.t,𓎟𓐰𓏏,𓎟𓏏,"['𓎟', '𓏏']",81660,nb,ADJ,,jeder; alle; irgendein,,,0.0,"['𓎟', '𓏏']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,4,IBUBdQBg49bvXUortT12n0NFnCU,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,5,IBUBd5uSSw3WNEYFj4hH5gNl5ws,ḫr,ḫr,𓐍𓐰𓂋,𓐍𓂋,"['𓐍', '𓂋']",400037,ḫr,PART,,[Bildungselement von Verbformen],,,0.0,"['𓐍', '𓂋']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,6,IBUBdy5uspeEe0QClChtkwqaODk,⸗tw,⸗tw,𓏏𓐰𓅱,𓏏𓅱,"['𓏏', '𓅱']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓅱']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,8,IBUBdQqcE9iHg0WCuUhASW62WUk,ḫꜣi̯,ḫꜣi̯,𓆼𓄿𓀜,𓆼𓄿𓀜,"['𓆼', '𓄿', '𓀜']",113410,ḫꜣi̯,VERB,,wägen; messen,,,0.0,"['𓆼', '𓄿', '𓀜']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,9,IBUBd7y5jUQ5lkdCnJrpdyrIJtc,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,10,IBUBdWWtcW2vMk7BkWv2PxmSqIA,ḥnꜥ,ḥnꜥ,𓎛𓈖𓐰𓂝,𓎛𓈖𓂝,"['𓎛', '𓈖', '𓂝']",550300,ḥnꜥ,PREP,,und (Koordination von Substantiv/-formen); sowie (Konjunktion); ferner; und (Koordination von Verben),,,0.0,"['𓎛', '𓈖', '𓂝']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,11,IBUBd2OWP7ekcEUhsrPkkPZmQ8I,rḏi̯.t,rḏi̯.t,𓂋𓐰𓂝𓐰𓏏,𓂋𓂝𓏏,"['𓂋', '𓂝', '𓏏']",550028,rḏi̯,VERB,,veranlassen; zulassen (dass),,,0.0,"['𓂋', '𓂝', '𓏏']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,12,IBUBd2I3WWpu70Wtmbyj9yA5Qwg,nqr.tw,nqr.tw,𓈖𓐰𓈎𓂋𓐰𓂝𓏏𓏲,𓈖𓈎𓂋𓂝𓏏𓏲,"['𓈖', '𓈎', '𓂋', '𓂝', '𓏏', '𓏲']",89120,nqr,VERB,,"durchsieben, seihen",,,0.0,"['𓈖', '𓈎', '𓂋', '𓂝', '𓏏', '𓏲']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,13,IBUBd3CThBpwO0G3l6SHvW5lYTg,sḫr.PL,sḫr.PL,𓋴𓐍𓐰𓂋𓏛𓐰𓏥,𓋴𓐍𓂋𓏛𓏥,"['𓋴', '𓐍', '𓂋', '𓏛', '𓏥']",142820,sḫr,NOUN,,Abfall (von Feldfrüchten),,,0.0,"['𓋴', '𓐍', '𓂋', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,14,IBUBd8ICzYE5LkAYnML8Wh5xFkA,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,15,IBUBd6onUvjb60VClHACFVMC0Pk,⸮psḏn?,psḏn,𓐷¿𓈀?𓐸𓐰𓈖𓉐,𓈀𓈖𓉐,"['𓈀', '𓈖', '𓉐']",62550,psḏn,NOUN,,Tenne,,,0.0,"['𓈀', '𓈖', '𓉐']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,7,16,IBUBd7oXNtyLF0BllS3qJ1sXAbA,m,m,𓅓,𓅓,['𓅓'],64364,m,PREP,,mittels; durch (etwas); [instrumental],,,0.0,['𓅓'],['complete']
