text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,2,IBUBd8SaLs2sdEz9nWa4jlarBg4,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28150,ꞽr,PREP,,wenn (konditional); wenn (temporal); als (temporal),,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,13,IBUBd196TSQIA0CqslulLWlsPFE,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,14,IBUBd8UjmI7nb0KmsTY5WUFAoUQ,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",107529,ḥr,PREP,,[mit Infinitiv]; [Bildungselement des Präsens I],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,15,IBUBdyQZNBi0sETjqK1KxRqmbU8,mn,mn,𓏠𓐰𓈖𓅪,𓏠𓈖𓅪,"['𓏠', '𓈖', '𓅪']",69660,mn,VERB,,krank sein; leiden (an); verletzen,,,0.0,"['𓏠', '𓈖', '𓅪']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,16,IBUBd55NPxYJyUZzobXzubSS90k,nḏr.wt,nḏr.wt,𓈖𓐰𓇥𓐰𓂋𓅱𓐰𓏏𓐎𓐰𓏥,𓈖𓇥𓂋𓅱𓏏𓐎𓏥,"['𓈖', '𓇥', '𓂋', '𓅱', '𓏏', '𓐎', '𓏥']",863005,nḏrw.t,NOUN,,Zusammenziehung (?); Zusammenballung (?),,,0.0,"['𓈖', '𓇥', '𓂋', '𓅱', '𓏏', '𓐎', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,17,IBUBd6KlIAEIuk0Pt6xinCUO79w,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,18,IBUBdzqQ9RVNBk9OjopubnPWQks,rd.DU,rd.DU,𓂾𓂾,𓂾𓂾,"['𓂾', '𓂾']",96600,rd,NOUN,,Fuß; (unteres) Bein; Fußspur,,,0.0,"['𓂾', '𓂾']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,19,IBUBdzixYW321EUyqYn6uk2M6Y4,⸗fꞽ,⸗fꞽ,𓆑𓐰𓏭,𓆑𓏭,"['𓆑', '𓏭']",10060,⸗fꞽ,PRON,,[Suffix Pron. sg.3.m. nach Dual],,,0.0,"['𓆑', '𓏭']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,21,IBUBdQpmdH4LBks0nV7tMCztt4o,ꜥꜣ,ꜥꜣ,𓉻𓐰𓂝𓄿𓏛,𓉻𓂝𓄿𓏛,"['𓉻', '𓂝', '𓄿', '𓏛']",34780,ꜥꜣ.w,ADV,,in hohem Maße; sehr,,,0.0,"['𓉻', '𓂝', '𓄿', '𓏛']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,22,IBUBd0xWg9F1sECZg8YlgdRJDCI,wr.t,wr.t,𓅨𓐰𓂋𓏏,𓅨𓂋𓏏,"['𓅨', '𓂋', '𓏏']",450161,wr.t,ADV,,sehr,,,0.0,"['𓅨', '𓂋', '𓏏']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,23,IBUBd6xyr2f2GkJ2sCOGai94m7o,rḏi̯.ḫr,rḏi̯.ḫr,𓂋𓐰𓂝𓐍𓐰𓂋,𓂋𓂝𓐍𓂋,"['𓂋', '𓂝', '𓐍', '𓂋']",96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,"['𓂋', '𓂝', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,24,IBUBdWaw0CykQU3BlbbMkTxk8XI,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,25,IBUBdyHFYPkOOExCtgrjpydxnHM,n,n,𓈖,𓈖,['𓈖'],400055,n,PREP,,zu (jmd.); für (jmd.); [Dativ: Nutzen]; zu (jmd.) gehörig (poss.),,,0.0,['𓈖'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,26,IBUBdW9J4Ovdb0F7h9vQimeG1eU,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,27,IBUBd7vwRSApAkins6wvFZ5J5gE,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,2,1,IBUBd9JZTzy3V0WFtZcqUdFP1o8,mrḥ.t,mrḥ.t,𓌻𓐰𓂋𓎛𓏏𓏌𓐰𓏥,𓌻𓂋𓎛𓏏𓏌𓏥,"['𓌻', '𓂋', '𓎛', '𓏏', '𓏌', '𓏥']",72840,mrḥ.t,NOUN,,Fett (allg.); Salböl,,,0.0,"['𓌻', '𓂋', '𓎛', '𓏏', '𓏌', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,2,2,IBUBdzk9pbJc5UQ6m2CmbKYWucs,zꜣ-wr,zꜣ-wr,𓎃𓏤𓏛𓐰𓏥𓅨𓐰𓂋𓈒𓐰𓏥,𓎃𓏤𓏛𓏥𓅨𓂋𓈒𓏥,"['𓎃', '𓏤', '𓏛', '𓏥', '𓅨', '𓂋', '𓈒', '𓏥']",125920,zꜣ-wr,NOUN,,[Harz oder Mineral (offizinell)],,,0.0,"['𓎃', '𓏤', '𓏛', '𓏥', '𓅨', '𓂋', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,2,3,IBUBd6ETSmtubE76gQYuGYuWsyY,ḏrḏ,ḏrḏ,𓄔𓐰𓏥,𓄔𓏥,"['𓄔', '𓏥']",185150,ḏrḏ,NOUN,,Blätter (der Bäume),,,0.0,"['𓄔', '𓏥']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,2,4,IBUBd2bZtvqHK0KgmIrAQSRDov0,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,2,5,IBUBdw4VfCxDSEZsneNulUhcpN4,šnd.t,šnd.t,𓍲𓐰𓈖𓂧𓐰𓏏𓆭𓈒𓐰𓏥,𓍲𓈖𓂧𓏏𓆭𓈒𓏥,"['𓍲', '𓈖', '𓂧', '𓏏', '𓆭', '𓈒', '𓏥']",156510,šnḏ.t,NOUN,,Dornakazie (Nilakazie),,,0.0,"['𓍲', '𓈖', '𓂧', '𓏏', '𓆭', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,3,2,IBUBd1ebuihyf0IGjOLyLDXgrbY,nḏ,nḏ,𓐩𓏌𓐰𓂝,𓐩𓏌𓂝,"['𓐩', '𓏌', '𓂝']",90880,nḏ,VERB,,zerreiben; mahlen; abreiben,,,0.0,"['𓐩', '𓏌', '𓂝']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,3,3,IBUBdQm4X3aRIUJMjqArbiGmOQY,snꜥꜥ,snꜥꜥ,𓊃𓐰𓈖𓂝𓐰𓂝𓏞𓏛,𓊃𓈖𓂝𓂝𓏞𓏛,"['𓊃', '𓈖', '𓂝', '𓂝', '𓏞', '𓏛']",136700,snꜥꜥ,VERB,,glätten; (fein) zerreiben,,,0.0,"['𓊃', '𓈖', '𓂝', '𓂝', '𓏞', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,4,1,IBUBd7wVX8tix065pBhQEECQqXM,psi̯,psi̯,𓊮,𓊮,['𓊮'],62180,psi̯,VERB,,kochen; backen; erhitzen,,,0.0,['𓊮'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,4,2,IBUBd0287OkmPUA5n2D15iWbsbw,m,m,𓅓,𓅓,['𓅓'],64362,m,PREP,,in (Zustand); als (Art und Weise); [modal],,,0.0,['𓅓'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,4,3,IBUBdwfkvR9hukClssq7rQ7Yyzw,(ꞽ)ḫ.t,ꞽḫ.t,𓐍𓐰𓏏𓏛𓐰𓏥,𓐍𓏏𓏛𓏥,"['𓐍', '𓏏', '𓏛', '𓏥']",30750,ꞽḫ.t,NOUN,,Sache; Besitz; Speisen; Opfer; Reliquie,,,0.0,"['𓐍', '𓏏', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,4,4,IBUBd4C7G5Zczk4jpt1T66sLtCo,wꜥ.t,wꜥ.t,𓌡𓐰𓂝𓐱𓏏𓏤,𓌡𓂝𓏏𓏤,"['𓌡', '𓂝', '𓏏', '𓏤']",44150,wꜥ,ADJ,,eins (Zahl); einzig,,,0.0,"['𓌡', '𓂝', '𓏏', '𓏤']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,5,1,IBUBdzlpHqLqV0rtmlujk5B7MFY,wrḥ,wrḥ,𓅨𓐰𓂋𓎛𓏌𓐰𓂝,𓅨𓂋𓎛𓏌𓂝,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']",48030,wrḥ,VERB,,aufstreichen; salben,,,0.0,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']","['complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,5,2,IBUBd1UTdtcCuEIphIcgvxlK3EQ,stp,stp,𓍉𓐰𓊪𓋳,𓍉𓊪𓋳,"['𓍉', '𓊪', '𓋳']",148100,stp,NOUN,,Lappen; Binde; Tuch,,,0.0,"['𓍉', '𓊪', '𓋳']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,5,3,IBUBdxO8cXIjnkv8h79KVCwbc7c,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,5,4,IBUBd72qsjYj7EBmhfpdErW6N4k,pꜣq.t,pꜣq.t,𓆀𓈎𓐰𓏏𓋳,𓆀𓈎𓏏𓋳,"['𓆀', '𓈎', '𓏏', '𓋳']",59330,pꜣq.t,NOUN,,feiner Leinenstoff,,,0.0,"['𓆀', '𓈎', '𓏏', '𓋳']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,5,5,IBUBdwFcnEYuqEh9udjeb0yPWEk,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,1,IBUBdyqwgk6KFEEUrFhS7PHCxq0,rḏi̯,rḏi̯,𓂋𓐰𓂝,𓂋𓂝,"['𓂋', '𓂝']",96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,"['𓂋', '𓂝']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,2,IBUBdzy9YrsAoUlEipSLgc2ElWI,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,3,IBUBdWFo0c9Wkk9VsfmWF5VGi6I,pḥ.(w)yt,pḥ.wyt,𓄖𓇋𓇋𓏏𓐰𓄹,𓄖𓇋𓇋𓏏𓄹,"['𓄖', '𓇋', '𓇋', '𓏏', '𓄹']",61520,pḥ.wyt,NOUN,,After; Rektum,,,0.0,"['𓄖', '𓇋', '𓇋', '𓏏', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,5,IBUBd276uEQONEBmkLZ5hK5pKTk,r,r,𓂋,𓂋,['𓂋'],91910,r,PREP,,so dass; bis dass (Konjunktion),,,0.0,['𓂋'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,6,IBUBd1S6mP8TnUfKmJOoSnrdWMY,snb,snb,𓋴𓈖𓐰𓃀𓏛,𓋴𓈖𓃀𓏛,"['𓋴', '𓈖', '𓃀', '𓏛']",136930,snb,VERB,,gesund sein,,,0.0,"['𓋴', '𓈖', '𓃀', '𓏛']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,7,IBUBdyiouY7AqEVyhmQqGZRCxUE,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,6,8,IBUBdwM47ymQ9kDau4t27qYMQx0,ḥr-ꜥ.wꞽ,ḥr-ꜥ.wꞽ,𓁷𓏤𓂝𓏤𓏲𓐰𓏭,𓁷𓏤𓂝𓏤𓏲𓏭,"['𓁷', '𓏤', '𓂝', '𓏤', '𓏲', '𓏭']",107860,ḥr-ꜥ.wꞽ,ADV,,sogleich,,,0.0,"['𓁷', '𓏤', '𓂝', '𓏤', '𓏲', '𓏭']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
