text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",2,2,IBYCeHA0p4jgAEx8ove2UWsCzu4,šsꜣ.w,šsꜣ.w,𓄃𓏲𓏛𓐰𓏥,𓄃𓏲𓏛𓏥,"['𓄃', '𓏲', '𓏛', '𓏥']",157100,šsꜣ.w,NOUN,,Diagnostik; Heilkunde,,,0.0,"['𓄃', '𓏲', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,11,IBYCdHW8nWGVzkeymRcbv9zWnl8,ḫꜥm,ḫꜥm,𓐍𓐰𓂝𓅓𓄈𓄹,𓐍𓂝𓅓𓄈𓄹,"['𓐍', '𓂝', '𓅓', '𓄈', '𓄹']",114880,ḫꜥm,NOUN,,Hals; Kehle,,,0.0,"['𓐍', '𓂝', '𓅓', '𓄈', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,12,IBYCdB6WqWm0QEgzjvD5APYZW7Q,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,13,IBYCdJ4CEO5aM0Wyu5VB0D3DhCE,ꞽ:sdb,ꞽ:sdb,𓇋𓋴𓂧𓃀<g>U116</g>𓏴,𓇋𓋴𓂧𓃀<g>U116</g>𓏴,"['𓇋', '𓋴', '𓂧', '𓃀', '<', 'g', '>', 'U', '1', '1', '6', '<', '/', 'g', '>', '𓏴']",856299,sdb,VERB,,aufgeweicht sein,,,0.0,"['𓇋', '𓋴', '𓂧', '𓃀', 'U116', '𓏴']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,14,IBYCdFoaQGGSmEyQm9F47GPiyNs,r,r,𓂋,𓂋,['𓂋'],91901,r,PREP,,"zu (lok.); bis (lok.); an (lok.); [in Richtung auf (e. Ort, e. Sache, e. Person)]; [lokal]",,,0.0,['𓂋'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,15,IBYCdOe12JI3gkW9p7N6JGQ0gRU,šbb,šbb,𓈙𓃀𓃀𓄈𓄹,𓈙𓃀𓃀𓄈𓄹,"['𓈙', '𓃀', '𓃀', '𓄈', '𓄹']",153420,šbb,NOUN,,Luftröhre; Speiseröhre,,,0.0,"['𓈙', '𓃀', '𓃀', '𓄈', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",3,16,IBYCdKP5sMUcL0OrvlgWWghQjpo,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",5,1,IBYCdHFwhYZC8k56qwryGIHqaWE,ꞽw,ꞽw,𓇋𓏲,𓇋𓏲,"['𓇋', '𓏲']",851515,ꞽw,PART,,[zur Satzmarkierung und in komplexen Verbformen],,,0.0,"['𓇋', '𓏲']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",5,2,IBYCdC9Aoaxdu02MpTaC1ILRNH4,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",5,3,IBYCdHyLOypKP0hZhzWOJNQQWlY,nsr.y,nsr.y,𓈖𓐰𓄓𓊃𓂋𓇋𓇋𓊮,𓈖𓄓𓊃𓂋𓇋𓇋𓊮,"['𓈖', '𓄓', '𓊃', '𓂋', '𓇋', '𓇋', '𓊮']",88270,nsr,VERB,,brennen; verbrennen,,,0.0,"['𓈖', '𓄓', '𓊃', '𓂋', '𓇋', '𓇋', '𓊮']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",5,4,IBYCdM3gpD2hNUu3iT6NZIDZJ0w,ꜥšꜣ,ꜥšꜣ,𓆈𓄿,𓆈𓄿,"['𓆈', '𓄿']",450155,ꜥšꜣ,ADV,,sehr; oft; vielfach,,,0.0,"['𓆈', '𓄿']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",6,1,IBYCdDWRq2deHEMsvp9Dm0D3fNY,šdd,šdd,𓄞𓐰𓂧|lb𓂧𓐰𓂝,𓄞𓂧𓂧𓂝,"['𓄞', '𓂧', '𓂧', '𓂝']",158710,šdi̯,VERB,,nehmen; herausnehmen; entfernen; (Gaben) darbringen,,,0.0,"['𓄞', '𓂧', '𓂧', '𓂝']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",6,2,IBYCdFaGPYHl1kFbmyO43sgtiF0,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",6,4,IBYCdHhQxpKMQkRYk8fnZJyuE4k,srf,srf,𓋴𓂋𓐰𓆑𓊮,𓋴𓂋𓆑𓊮,"['𓋴', '𓂋', '𓆑', '𓊮']",139390,srf,NOUN,,Wärme; Leidenschaft; Fieber,,,0.0,"['𓋴', '𓂋', '𓆑', '𓊮']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",6,5,IBYCdKqFchMF7URIkLQepVWbeMo,ẖr,ẖr,𓌨𓐰𓂋,𓌨𓂋,"['𓌨', '𓂋']",851509,ẖr,PREP,,infolge (Grund); [kausal],,,0.0,"['𓌨', '𓂋']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",6,6,IBYCdH3YIVwAok36oJCA5XZMxok,⸗s,⸗s,𓋴,𓋴,['𓋴'],10090,⸗s,PRON,,[Suffix Pron.sg.3.f.],,,0.0,['𓋴'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,1,IBYCdGESODGemk8AuZ6QJU0nt1U,nḏri̯.ḫr,nḏri̯.ḫr,𓈖𓐰𓇥𓐰𓂋𓐍𓐰𓂋,𓈖𓇥𓂋𓐍𓂋,"['𓈖', '𓇥', '𓂋', '𓐍', '𓂋']",91670,nḏri̯,VERB,,fassen; packen,,,0.0,"['𓈖', '𓇥', '𓂋', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,2,IBYCdBTgvYBpWkzvk8x2OeqjqtM,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,3,IBYCdMgI99ztnEogtjcdrPPUwKY,wbn.w,wbn.w,𓇶𓏌𓏲𓂐,𓇶𓏌𓏲𓂐,"['𓇶', '𓏌', '𓏲', '𓂐']",45190,wbn.w,NOUN,,offene Wunde; Verletzung,,,0.0,"['𓇶', '𓏌', '𓏲', '𓂐']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,4,IBYCdHWv5sr5dkDQlbKaAihSlk8,pf,pf,𓊪𓐰𓆑,𓊪𓆑,"['𓊪', '𓆑']",59880,pf,PRON,,jener [Dem.Pron. sg.m],,,0.0,"['𓊪', '𓆑']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,5,IBYCdO5ZJ6jo8UEOpk82dseUIMk,m,m,𓅓,𓅓,['𓅓'],64364,m,PREP,,mittels; durch (etwas); [instrumental],,,0.0,['𓅓'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",7,6,IBYCdNBJLtixUky3p3GxyJWn26M,ꞽdr,ꞽdr,𓇋𓂧𓐰𓂋𓎩,𓇋𓂧𓂋𓎩,"['𓇋', '𓂧', '𓂋', '𓎩']",34180,ꞽdr,NOUN,,Verband; Verbandsmaterial; Naht (chirurgisch),,,0.0,"['𓇋', '𓂧', '𓂋', '𓎩']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,1,IBYCdAsGQeW2ykyvmvQtEQXWEAA,ḏd.ꞽn,ḏd.ꞽn,𓆓𓂧𓇋𓈖,𓆓𓂧𓇋𓈖,"['𓆓', '𓂧', '𓇋', '𓈖']",185810,ḏd,VERB,,sagen; mitteilen,,,0.0,"['𓆓', '𓂧', '𓇋', '𓈖']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,2,IBYCdJYy5Lem1kQnkUtsKJMWo2U,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,3,IBYCdPHQAwqMaEefvV3fzPERWZ0,r,r,𓂋,𓂋,['𓂋'],91903,r,PREP,,betreffs; bezüglich; gemäß,,,0.0,['𓂋'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,4,IBYCdKtOQ5wQQkM5j1QC5fvgFIA,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,5,IBYCdMrIWt4DWUGth4Fv7SMQ1bM,ẖr.ꞽ,ẖr.ꞽ,𓌨𓐰𓂋𓏭,𓌨𓂋𓏭,"['𓌨', '𓂋', '𓏭']",124220,ẖr.ꞽ,ADJ,,befindlich unter; unterer,,,0.0,"['𓌨', '𓂋', '𓏭']","['complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,6,IBYCdEtjQptamEpNnQJQjqtSR5A,wbn.w,wbn.w,𓇶𓄹,𓇶𓄹,"['𓇶', '𓄹']",45190,wbn.w,NOUN,,offene Wunde; Verletzung,,,0.0,"['𓇶', '𓄹']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,8,IBYCdE02Q7oQNkxUma4Y551ZZDs,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,9,IBYCdNn7VTqvwkJfvTtsvpuyTVE,ḫꜥm,ḫꜥm,𓐍𓐰𓂝𓅓𓏲𓄈𓄹,𓐍𓂝𓅓𓏲𓄈𓄹,"['𓐍', '𓂝', '𓅓', '𓏲', '𓄈', '𓄹']",114880,ḫꜥm,NOUN,,Hals; Kehle,,,0.0,"['𓐍', '𓂝', '𓅓', '𓏲', '𓄈', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,10,IBYCdBW2ttQjL0GjsvA7R2tLco8,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,11,IBYCdBbubwx58kX6ui8fKvMmTww,ꞽ:sdb,ꞽ:sdb,𓇋𓋴𓂧𓐰𓃀<g>U116</g>𓏴,𓇋𓋴𓂧𓃀<g>U116</g>𓏴,"['𓇋', '𓋴', '𓂧', '𓃀', '<', 'g', '>', 'U', '1', '1', '6', '<', '/', 'g', '>', '𓏴']",856299,sdb,VERB,,aufgeweicht sein,,,0.0,"['𓇋', '𓋴', '𓂧', '𓃀', 'U116', '𓏴']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,12,IBYCdJegtcfnSEMTqhOqucL9y8E,r,r,𓂋,𓂋,['𓂋'],91901,r,PREP,,"zu (lok.); bis (lok.); an (lok.); [in Richtung auf (e. Ort, e. Sache, e. Person)]; [lokal]",,,0.0,['𓂋'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,13,IBYCdK35RJqhmk53s4mRdb7tnNA,šbb,šbb,𓈙𓃀𓃀𓄹,𓈙𓃀𓃀𓄹,"['𓈙', '𓃀', '𓃀', '𓄹']",153420,šbb,NOUN,,Luftröhre; Speiseröhre,,,0.0,"['𓈙', '𓃀', '𓃀', '𓄹']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,14,IBYCdAB8DQ9020WXmbDuXs8M26c,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,15,IBYCdDMtushGzUanizTvWo3sKKU,mr,mr,𓍋𓅓𓐰𓂋𓅪,𓍋𓅓𓂋𓅪,"['𓍋', '𓅓', '𓂋', '𓅪']",71810,mr,NOUN,,Krankheit; Schmerz,,,0.0,"['𓍋', '𓅓', '𓂋', '𓅪']","['complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,16,IBYCdGqYW67NIUp2u0vY6ub8Bm4,ꜥḥꜣ,ꜥḥꜣ,𓂚𓄿𓂡,𓂚𓄿𓂡,"['𓂚', '𓄿', '𓂡']",39920,ꜥḥꜣ,VERB,,kämpfen; bekämpfen,,,0.0,"['𓂚', '𓄿', '𓂡']","['complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,17,IBYCdPqA44EFykb1lO61lsjQh2g,⸗ꞽ,⸗ꞽ,𓀀,𓀀,['𓀀'],10030,⸗ꞽ,PRON,,[Suffix Pron. sg.1.c.],,,0.0,['𓀀'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",8,18,IBYCdNyZ1Z8ps0nWnmuxhKYzd5s,ḥnꜥ,ḥnꜥ,𓎛𓈖𓐰𓂝,𓎛𓈖𓂝,"['𓎛', '𓈖', '𓂝']",106240,ḥnꜥ,ADV,,dabei; damit,,,0.0,"['𓎛', '𓈖', '𓂝']","['complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",9,2,IBYCdDsazZrQtkgVjtEiWx71WMg,wt.ḫr,wt.ḫr,𓐎𓐰𓏏𓀜𓐍𓐰𓂋,𓐎𓏏𓀜𓐍𓂋,"['𓐎', '𓏏', '𓀜', '𓐍', '𓂋']",50980,wt,VERB,,einwickeln; verbinden; fesseln,,,0.0,"['𓐎', '𓏏', '𓀜', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",9,3,IBYCdLr7qmvPcUYLhwdW7H5F5wU,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",9,4,IBYCdCQiR7pYHUhloDe8zBT78WE,sw,sw,𓇓𓏲,𓇓𓏲,"['𓇓', '𓏲']",129490,sw,PRON,,er [Enkl. Pron. sg.3.m.]; sich [Enkl. Pron. sg.3.m.]; ihn [Enkl. Pron. sg.3.m.],,,0.0,"['𓇓', '𓏲']","['complete', 'complete']"
G4RBISLJFVEMLJJZCGNLVQCCVU,"Medizinische Texte || pEdwin Smith || 9.18-17.19: Wundenbuch, Hals- und Rumpfverletzungen (Fall 28-48)",9,5,IBYCdPXaUsWKLEXxnM5jDbpPwfM,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",107520,ḥr,PREP,,[Präposition],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
